| Series   |   Mass | EOS   |   trise |    kpush |    xi175 |    xi200 |    xi225 |   Outcome |   M_rem |   M_Fe |    M_CO |    M_He |     M_H |     E_exp |   t_bounce |    t_exp |    t_end |
| z        |   23   | NL3   |     0.4 | 4.2616   | 0.598937 | 0.325807 | 0.24497  |         0 | 1.68458 | 1.4954 |  5.8888 |  7.1747 | 15.8277 | 1.38299   |   0.37148  | 0.328827 | 4.89619  |
| u        |   20   | TM1   |     0.4 | 2.07905  | 1.07431  | 0.581331 | 0.403132 |         0 | 1.96536 | 1.5722 |  4.7889 |  6.3856 | 13.6102 | 1.00062   |   0.398338 | 0.486423 | 4.60456  |
| s        |   26   | TM1   |     0.4 | 1.93072  | 1.1108   | 0.591279 | 0.384635 |         0 | 1.96721 | 1.6098 |  6.8687 |  8.6701 |  4.2719 | 0.541766  |   0.404488 | 0.5026   | 6.2867   |
| s        |   29   | TM1   |     0.4 | 4.32139  | 0.413228 | 0.281193 | 0.216544 |         0 | 1.59683 | 1.5342 |  7.5799 |  9.5306 |  3.0839 | 1.24145   |   0.350245 | 0.36665  | 7        |
| u        |   26   | BHBlp |     0.4 | 3.28466  | 1.01436  | 0.483517 | 0.330409 |         0 | 1.89842 | 1.589  |  6.9932 |  8.6881 | 17.3026 | 0.713934  |   0.415585 | 0.404426 | 2.64909  |
| w        |   33   | BHBlp |     0.4 | 3.05338  | 0.994375 | 0.50553  | 0.349555 |         0 | 1.88486 | 1.5615 | 10.396  | 11.5992 |  1.64   | 0.710858  |   0.413204 | 0.459935 | 5.16463  |
| u        |   28   | BHBlp |     0.4 | 2.71028  | 1.03294  | 0.534764 | 0.385777 |         0 | 1.93607 | 1.561  |  8.0816 |  9.8257 | 18.162  | 0.627506  |   0.406537 | 0.484575 | 2.07863  |
| u        |   17   | BHBlp |     0.4 | 4.0873   | 0.276014 | 0.176643 | 0.140586 |         0 | 1.51174 | 1.5262 |  3.5298 |  4.9962 | 12.0018 | 1.1071    |   0.344748 | 0.287709 | 3.66117  |
| u        |   25   | BHBlp |     0.4 | 3.97223  | 0.948152 | 0.396338 | 0.267766 |         4 | 1.85443 | 1.5302 |  6.6807 |  8.4008 | 16.5906 | 0.810875  |   0.406539 | 0.385954 | 2.18715  |
| u        |   20   | BHBlp |     0.4 | 1.78753  | 1.09886  | 0.600593 | 0.415639 |         0 | 2.01798 | 1.5722 |  4.7889 |  6.3856 | 13.6102 | 0.76437   |   0.398279 | 0.614946 | 4.56971  |
| w        |   31   | BHBlp |     0.4 | 4.1342   | 0.629789 | 0.36408  | 0.259222 |         0 | 1.71919 | 1.4881 |  9.611  | 10.8209 |  2.8133 | 1.03533   |   0.382181 | 0.3699   | 7        |
| u        |   27   | BHBlp |     0.4 | 3.34095  | 1.00736  | 0.477798 | 0.324404 |         4 | 1.88943 | 1.6046 |  7.3558 |  9.0703 | 17.9194 | 0.687932  |   0.414098 | 0.398414 | 2.10338  |
| s        |   26.2 | SFHo  |     0.4 | 4.26698  | 0.649966 | 0.323522 | 0.256208 |         0 | 1.70517 | 1.5381 |  7.6289 |  8.8735 |  3.3592 | 1.08992   |   0.394461 | 0.303571 | 6.79499  |
| u        |   27.2 | SFHo  |     0.4 | 3.27703  | 1.01083  | 0.484281 | 0.360989 |         0 | 1.85841 | 1.5728 |  7.741  |  9.4384 | 17.7504 | 0.947024  |   0.410822 | 0.366794 | 1.75269  |
| s        |   18.2 | SFHx  |     0.4 | 4.30478  | 0.374033 | 0.248679 | 0.197629 |         0 | 1.5464  | 1.4061 |  4.1016 |  5.3274 |  9.2544 | 1.25029   |   0.306266 | 0.365955 | 7        |
| s        |   20.2 | SFHx  |     0.4 | 3.93182  | 0.235818 | 0.148031 | 0.118391 |         0 | 1.55516 | 1.4662 |  4.9814 |  6.239  |  8.2286 | 0.825884  |   0.369429 | 0.258889 | 2.97671  |
| s        |   28.2 | SFHo  |     0.4 | 4.23927  | 0.486435 | 0.334346 | 0.259652 |         0 | 1.6252  | 1.5255 |  7.4526 |  9.405  |  3.4024 | 1.37708   |   0.34631  | 0.370326 | 6.5021   |
| u        |   28.2 | SFHo  |     0.4 | 3.59086  | 0.918672 | 0.450155 | 0.337846 |         0 | 1.81282 | 1.5607 |  7.8233 |  9.5828 | 18.6055 | 0.948135  |   0.394458 | 0.353063 | 1.88008  |
| s        |   21.2 | SFHx  |     0.4 | 4.11547  | 0.707144 | 0.368385 | 0.22581  |         0 | 1.75793 | 1.4849 |  5.4587 |  6.7649 |  6.7888 | 1.67184   |   0.363066 | 0.392424 | 2.41095  |
| s        |   27.2 | SFHo  |     0.4 | 4.28395  | 0.503008 | 0.315471 | 0.254795 |         0 | 1.6585  | 1.5076 |  7.1726 |  9.0965 |  3.6558 | 1.10056   |   0.373314 | 0.312646 | 6.46732  |
| s        |   14.2 | SFHx  |     0.4 | 4.30055  | 0.521295 | 0.245576 | 0.161151 |         0 | 1.66552 | 1.4967 |  2.6779 |  3.8572 |  8.2247 | 1.44366   |   0.353967 | 0.370339 | 7        |
| s        |   15.2 | SFHx  |     0.4 | 4.30819  | 0.570358 | 0.299686 | 0.203866 |         0 | 1.67426 | 1.4081 |  3.0028 |  4.2075 |  8.514  | 1.71056   |   0.31614  | 0.397746 | 7        |
| s        |   19.2 | SFHx  |     0.4 | 4.16504  | 0.73854  | 0.356494 | 0.237064 |         0 | 1.76357 | 1.4886 |  4.4361 |  5.676  |  9.4102 | 1.70341   |   0.356966 | 0.387128 | 5.62313  |
| s        |   16.2 | SFHx  |     0.4 | 4.31437  | 0.362265 | 0.257574 | 0.19805  |         0 | 1.54142 | 1.3635 |  3.3578 |  4.5607 |  8.8582 | 1.30671   |   0.276976 | 0.37941  | 7        |
| s        |   17.2 | SFHx  |     0.4 | 4.28917  | 0.346476 | 0.238505 | 0.191233 |         0 | 1.55046 | 1.4179 |  3.7208 |  4.9364 |  9.1386 | 1.22077   |   0.307236 | 0.336206 | 7        |
| s        |   26.2 | SFHx  |     0.4 | 4.26616  | 0.650825 | 0.32388  | 0.25641  |         0 | 1.70796 | 1.5381 |  7.6289 |  8.8735 |  3.3592 | 0.967205  |   0.39445  | 0.311972 | 6.71543  |
| s        |   27.2 | SFHx  |     0.4 | 4.28321  | 0.503864 | 0.315857 | 0.255015 |         0 | 1.66165 | 1.5076 |  7.1726 |  9.0965 |  3.6558 | 0.982167  |   0.373301 | 0.322321 | 6.65594  |
| s        |   40   | NL3   |     0.4 | 3.81901  | 0.920578 | 0.420383 | 0.304896 |         0 | 1.81423 | 1.5642 |  7.1804 |  0      |  0      | 1.14332   |   0.397784 | 0.346309 | 7        |
| s        |   25.2 | SFHx  |     0.4 | 0.729672 | 1.21505  | 0.662519 | 0.437324 |         0 | 2.15953 | 1.6328 |  7.1126 |  8.3517 |  4.7675 | 0.246667  |   0.413998 | 0.904092 | 7        |
| s        |   13.2 | SFHx  |     0.4 | 3.99497  | 0.331664 | 0.158804 | 0.088981 |         0 | 1.5954  | 1.3909 |  2.3738 |  3.5051 |  7.987  | 1.0951    |   0.307805 | 0.38833  | 7        |
| s        |   28.2 | SFHx  |     0.4 | 4.23767  | 0.487568 | 0.334909 | 0.260015 |         0 | 1.6331  | 1.5255 |  7.4526 |  9.405  |  3.4024 | 1.22687   |   0.346295 | 0.388158 | 7        |
| s        |   38   | NL3   |     0.4 | 4.28817  | 0.534151 | 0.313203 | 0.266694 |         0 | 1.65101 | 1.5194 |  7.7502 |  0      |  0      | 1.2184    |   0.375067 | 0.312158 | 7        |
| s        |   35   | BHBlp |     0.4 | 4.27428  | 0.552383 | 0.320238 | 0.241186 |         0 | 1.6877  | 1.4881 |  9.1518 |  0      |  0      | 1.01984   |   0.380939 | 0.357995 | 5.48276  |
